Filename,Segment_label,A1hz,A1dB,F0,H1,H2,P0,A1-P0,P1Hz,P1,A1-P1F1,Time
Bd_202,ee,281.25,27.46,109.38,40.96,41.16,9.16,18.30,906.25,2.53,24.93,1.00
Bd_203,A,1046.88,-4.37,187.50,-3.41,9.53,-0.41,-3.96,859.38,-3.69,-0.68,1.00
Bd_203,oh,562.50,43.68,125.00,42.93,47.28,41.52,2.15,1000.00,20.81,22.86,1.00
Bd_204,A,593.75,44.45,125.00,41.01,37.99,44.45,0.00,906.25,28.08,16.37,1.00
Bd_204,i,562.50,54.97,156.25,44.69,48.25,15.22,39.75,1000.00,34.33,20.64,1.00
Bd_204,E,281.25,24.57,109.38,40.57,40.88,22.01,2.56,921.88,7.63,16.94,1.00
Bd_205,ee,234.38,51.55,109.38,43.41,51.61,9.85,41.70,1000.00,4.84,46.71,1.00
Bd_205,ee,531.25,51.09,156.25,46.27,52.73,8.18,42.91,1000.00,35.74,15.35,1.00
Bd_205,i,781.25,8.43,171.88,5.51,-0.05,9.52,-1.09,1031.25,-0.08,8.51,1.00
Bd_205,i,343.75,39.76,156.25,44.71,37.99,44.82,-5.06,875.00,12.59,27.18,1.00
Bd_206,i,375.00,48.84,187.50,46.80,48.84,10.20,38.65,859.38,17.88,30.96,1.00
Bd_206,A,531.25,46.65,156.25,42.68,45.89,20.22,26.43,906.25,36.74,9.91,1.00
Bd_206,A,968.75,0.27,156.25,4.95,1.44,10.65,-10.38,968.75,0.27,0.00,1.00
